fungicide;cycle;Number.replicate;OMD;region;Temp_field;Temp_lab;weight start;weight end;species
TU-1;2;6;0.000713697;Denmark;9;15;2000;1597.328571;12
TU-1;2;7;0.000963406;Denmark;9;15;2000;1476.5;15
TU-1;2;1;0.000726585;Germany;7.57;17.77888975;3960;3019.13;6
TU-1;2;2;0.000713146;Germany;7.57;17.05668155;3968;3073.51;6
TU-1;2;3;0.000980131;Germany;7.57;16.38179803;4028;2875.1;7
TU-1;2;4;0.001126364;Germany;7.57;18.56568404;4003;2580.28;NA
TU-1;2;5;0.001130625;Germany;7.57;17.80953269;4018;2632.49;8
TU-1;2;6;0.000952121;Germany;7.57;17.0148787;3995;2842.94;NA
TU-1;2;7;0.000892229;Germany;7.57;18.33233091;4005;2840.71;7
TU-1;2;1;0.001034504;Sweden;9.39;11.23;2012;1576.428889;2
TU-1;2;2;0.00098357;Sweden;9.39;11.23;2034;1612.924444;4
TU-1;2;3;0.000680952;Sweden;9.39;11.23;2051;1746.717778;3
TU-1;2;4;0.000554451;Sweden;9.39;11.23;2055;1803.122222;1
TU-1;2;5;0.000715797;Sweden;9.39;11.23;2056;1736.646667;3
TU-1;2;6;0.000775173;Sweden;9.39;11.23;2068;1722.493333;1
control;3;1;0.000996664;Australia;18;18;1.05;0.7204;NA
control;3;2;0.000801004;Australia;18;18;1.05;0.7757;NA
control;3;3;0.001078316;Australia;18;18;1.03;0.6852;NA
control;3;4;0.000816874;Australia;18;18;0.99;0.727;NA
control;3;5;0.001028844;Australia;18;18;1;0.6778;NA
control;3;6;0.00097667;Australia;18;18;1;0.6913;NA
control;3;7;0.001414201;Australia;18;18;1.03;0.6035;NA
control;3;1;0.001021589;Denmark;9;15;2000;1449.685714;9
control;3;2;0.000722255;Denmark;9;15;2000;1593.028571;7
control;3;3;0.00059267;Denmark;9;15;2000;1659.4;9
control;3;4;0.000598935;Denmark;9;15;2000;1656.128571;10
control;3;5;0.000909952;Denmark;9;15;2000;1501.571429;7
control;3;6;0.000785541;Denmark;9;15;2000;1561.585714;7
control;3;7;0.000891012;Denmark;9;15;2000;1510.557143;8
control;3;1;0.001137984;Germany;7.57;17.3742802;3975;2624.315;13
control;3;2;0.00122805;Germany;7.57;16.77693256;4001;2595.77;8
control;3;3;0.001080427;Germany;7.57;17.27062011;4000;2703.215;6
control;3;4;0.000978801;Germany;7.57;16.52597541;3968;2825.185;NA
control;3;5;0.001292257;Germany;7.57;18.90988271;3987;2386.61;11
control;3;6;0.001528312;Germany;7.57;18.19199205;3983;2221.475;NA
control;3;7;0.001264032;Germany;7.57;17.422066;3955;2490.585;9
control;3;1;0.000901829;Sweden;9.39;11.23;2035;1645.126667;4
control;3;2;0.000703216;Sweden;9.39;11.23;2004;1697.753333;3
control;3;3;0.001093046;Sweden;9.39;11.23;2030;1568.724444;3
control;3;4;0.000928935;Sweden;9.39;11.23;2014;1617.775556;4
control;3;5;0.000985132;Sweden;9.39;11.23;2033;1611.537778;4
control;3;6;0.00059357;Sweden;9.39;11.23;2028;1763.091111;3
TU-1;3;1;0.001076329;Australia;18;18;1.01;0.6724;NA
TU-1;3;2;0.000965162;Australia;18;18;1.02;0.7082;NA
TU-1;3;3;0.000810913;Australia;18;18;1;0.736;NA
TU-1;3;4;0.000662058;Australia;18;18;1;0.7786;NA
TU-1;3;5;0.000836835;Australia;18;18;1.02;0.7434;NA
TU-1;3;6;0.001090044;Australia;18;18;1;0.6623;NA
TU-1;3;7;0.00091012;Australia;18;18;1.01;0.716;NA
TU-1;3;1;0.000540437;Denmark;9;15;2000;1686.928571;6
TU-1;3;2;0.000577538;Denmark;9;15;2000;1667.328571;7
TU-1;3;3;0.000839374;Denmark;9;15;2000;1535.328571;4
TU-1;3;4;0.000643388;Denmark;9;15;2000;1633.1;8
TU-1;3;5;0.000826109;Denmark;9;15;2000;1541.757143;7
TU-1;3;6;0.000757552;Denmark;9;15;2000;1575.414286;9
TU-1;3;7;0.000760029;Denmark;9;15;2000;1574.185714;8
TU-1;3;1;0.001587991;Germany;7.57;17.77888975;3992;2206.495;6
TU-1;3;2;0.001278862;Germany;7.57;17.05668155;3999;2529.365;9
TU-1;3;3;0.000984601;Germany;7.57;16.38179803;3988;2842.175;6
TU-1;3;4;0.001758745;Germany;7.57;18.56568404;3987;2008.405;NA
TU-1;3;5;0.000964273;Germany;7.57;17.80953269;3991;2782.65;9
TU-1;3;6;0.001734717;Germany;7.57;17.0148787;4003;2153.745;NA
TU-1;3;7;0.001398784;Germany;7.57;18.33233091;3954;2307.64;9
TU-1;3;1;0.000900076;Sweden;9.39;11.23;2021;1634.484444;3
TU-1;3;2;0.000930576;Sweden;9.39;11.23;2080;1670.144444;2
TU-1;3;3;0.000795708;Sweden;9.39;11.23;2016;1671.068889;4
TU-1;3;4;0.000910438;Sweden;9.39;11.23;2042;1647.437778;2
TU-1;3;5;0.000865622;Sweden;9.39;11.23;2072;1689.402222;2
TU-1;3;6;0.000705676;Sweden;9.39;11.23;2022;1712.008889;2
