Number replicate;cycle;fungicide;Region;Actinospora megalospora;Alatospora acuminata;Alatospora constricta;Alatospora pulchella;Alatospora sp.;Anguillaspora sp.;Anguillospora filiformis;Anguillospora furtiva;Anguillospora fustiformis;Anguillospora longissima;Anguillospora rosea;Anguillospora sp.;Articulospora tetracladia;Clavariopsis aquatica;Cylindrocarpon aquatica;Cylindrocarpon sp.;Filosporella sp.;Flagellospora curvula;Flagellospora fusaroides;Flagellospora penicillioides;Flagellospora sp.;Fontanospora eccentrica;Fusarium sp.;Geniculospora inflata;Heliscus lugdunensis;Heliscus tentaculus;Infundibura sp.;Lemoniera cornuta;Lemonniera sp. 1;Lemonniera 2;Lemonniera aquatica;Lemonniera sp. 2;Lemonniera terrestris;Unknown 1;Unknown 2;Unknown 3;Unknown 4;Mycocentrospora clavata;Mycocentrospora sp. ;Neonectria lugdunensis;Sigmoida Aurantiaca;Stenocladiella neglecta;Unknown 5;Tetrachaetum elegans;Tetracladium furcatum;Tetracladium marchalianum;Tetracladium setigerum;Tetracladium sp.;Tricladium angulatum;Tricladium attentatum;Tricladium attenuatum;Tricladium chaetocladium;Tricladium curvisporum;Tricladium sp.;Tricladium splendens;Tumularia aquatica;Unkown 7;Varicosporium elodeae;Ypsiliana graminea
2;3;control;DK;0;1159.861827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.369730679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102.0248829;0;0;0;0;0;16.10919204;0;0;32.21838407;0;0;53.69730679;0;0;0;477.9060304;0;0;0;0;0;0
3;3;control;DK;0;560.6728302;0;0;0;0;0;0;0;0;0;0;10.38283019;0;0;0;0;10.38283019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;508.7586792;10.38283019;0;0;0;0;10.38283019;0;0;20.76566038;0;0;10.38283019;0;0;0;280.3364151;0;0;0;0;0;0
4;3;control;DK;0;415.4699887;0;0;0;0;0;0;0;41.54699887;0;0;20.77349943;0;0;0;0;0;10.38674972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.54699887;0;0;0;0;0;20.77349943;0;10.38674972;72.70724802;0;0;10.38674972;0;0;0;2710.941676;0;0;0;0;0;0
5;3;control;DK;0;1037.195812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.202748691;108.0412304;0;0;0;0;0;14.40549738;0;0;57.62198953;0;0;7.202748691;0;0;0;965.1683246;0;0;0;0;0;0
6;3;control;DK;0;348.8445536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.21973214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.913303571;4.913303571;0;0;0;0;0;9.826607143;0;0;113.0059821;0;0;0;0;0;0;643.6427679;0;0;0;0;0;0
7;3;control;DK;0;115.6406522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.96282609;3.987608696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.975217391;0;0;0;0;0;27.91326087;0;0;35.88847826;0;0;67.78934783;0;0;0;917.15;0;0;0;0;0;0
1;3;TU-1;DK;0;768.9910565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.417738029;0;0;0;0;37.59511832;0;0;0;0;0;3.417738029;0;0;51.26607043;0;0;0;0;0;0;181.1401155;0;0;0;0;0;0
2;3;TU-1;DK;0;1174.035118;0;0;0;0;0;0;0;15.58453696;0;0;0;0;0;0;0;10.38969131;10.38969131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88.3123761;0;0;0;0;0;0;0;0;88.3123761;0;0;0;0;0;0;197.4041348;0;0;0;0;0;0
3;3;TU-1;DK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.10828897;0;0;0;0;0;0;0;71.14015209;0;0;8.369429658;0;0;0;213.4204563;0;0;0;0;0;0
4;3;TU-1;DK;0;886.3731544;0;0;0;0;0;0;0;5.276030681;0;0;0;0;0;0;0;0;26.3801534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.82809204;0;0;0;0;0;5.276030681;0;0;116.072675;0;0;10.55206136;0;0;0;712.2641419;0;0;0;0;0;0
5;3;TU-1;DK;0;953.32529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38.30324826;8.511832947;0;0;0;0;4.255916473;0;0;89.37424594;0;8.511832947;0;0;0;0;319.1937355;0;0;0;0;0;0
6;3;TU-1;DK;0;547.8369985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.08833581;8.17667162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.08833581;0;0;40.8833581;0;0;0;0;0;16.35334324;0;0;122.6500743;0;4.08833581;0;0;0;0;367.9502229;0;0;0;0;0;0
7;3;TU-1;DK;0;914.655485;0;0;0;0;0;0;0;5.543366576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.543366576;0;0;0;0;149.6708976;49.89029918;0;0;0;0;11.08673315;0;0;171.8443639;0;0;0;0;0;0;393.5790269;0;0;0;0;0;0
1;2;control;DE;0;670.4570724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74.49523026;30.67450658;0;0;0;0;0;0;0;0;0;0;35.05657895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;482.0279605;0;26.29243421;0;0;0;0;0;4.382072368;0;0;0;0;0;0;0
2;2;control;DE;0;1541.762421;0;173.5759017;0;0;0;0;0;0;0;0;81.68277728;0;0;20.42069432;0;0;51.0517358;0;0;0;0;0;0;0;0;0;122.5241659;0;10.21034716;0;0;0;0;0;0;0;0;0;0;357.3621506;0;459.4656222;0;918.9312444;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;control;DE;0;1826.918171;0;45.22074681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.044149361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81.39734425;0;741.6202476;0;316.5452276;0;0;0;0;0;0;0;0;0;0;0;0;27.13244808
5;2;control;DE;0;896.8930693;0;0;0;0;0;0;0;0;0;0;40.76786679;0;0;0;0;30.57590009;0;0;0;0;0;0;0;0;0;0;264.9911341;0;20.38393339;0;10.1919667;0;0;0;0;0;0;0;0;5.095983348;0;280.2790842;0;15.28795005;0;0;0;0;0;10.1919667;0;0;0;0;0;0;0
7;2;control;DE;0;1324.152232;0;53.20254503;0;0;0;0;0;0;29.55696946;0;17.73418168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.911393892;11.82278778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;803.9495693;0;5.911393892;0;5.911393892;0;0;0;0;0;0;0;0;0;0;0
1;2;TU-1;DE;0;477.536258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.7975965;0;32.37533953;0;0;0;0;0;0;0;0;0;0;178.0643674;0;756.7735615;0;4.046917441;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;TU-1;DE;0;381.8283664;0;23.21929255;0;0;0;0;0;0;0;0;2.579921394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178.0145762;0;250.2523753;0;5.159842789;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;TU-1;DE;0;245.0065351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46.35258772;0;3.310899123;0;0;0;0;0;0;0;0;0;0;62.90708333;0;281.4264254;0;440.3495833;0;36.41989035;0;0;0;0;0;0;0;0;0;0;0
5;2;TU-1;DE;0;1571.303566;0;21.97627365;0;0;0;0;0;0;0;0;54.94068413;0;0;0;0;0;0;0;0;0;5.494068413;0;0;0;0;0;16.48220524;0;0;0;0;0;0;0;0;0;0;0;0;313.1618996;0;137.3517103;0;43.95254731;0;0;0;0;0;0;0;0;0;0;0;0;0
7;2;TU-1;DE;0;920.0160938;0;14.15409375;0;0;0;0;0;0;0;0;7.077046875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.23114063;0;7.077046875;0;0;0;0;0;0;0;0;0;0;283.081875;0;1174.789781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;3;control;DE;0;149.353262;0;0;4.595484984;0;0;0;0;0;0;0;16.08419744;0;4.595484984;0;0;57.4435623;0;0;0;25.27516741;0;0;0;0;0;0;71.23001725;0;0;0;0;0;0;0;0;0;0;0;0;291.8132965;0;41.35936485;0;55.14581981;0;2.297742492;0;0;0;2.297742492;0;0;0;0;0;0;6.893227476
2;3;control;DE;0;1920.467346;0;0;0;0;0;0;0;0;8.313711454;0;91.45082599;0;0;8.313711454;0;0;0;0;0;0;0;0;0;0;0;0;41.56855727;0;0;0;0;0;0;0;0;0;0;0;0;448.9404185;0;606.9009361;0;257.7250551;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;control;DE;0;1691.530759;0;52.53201113;0;0;0;0;0;0;0;0;31.51920668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.50640223;0;78.7980167;0;0;0;0;0;0;0;0;0;0;0;0;10.50640223
5;3;control;DE;0;1456.795614;0;44.14532164;0;0;0;0;0;0;0;0;16.55449561;0;0;0;0;5.518165205;38.62715643;0;0;0;0;0;0;0;0;0;38.62715643;0;0;0;0;0;0;0;0;0;0;0;0;5.518165205;0;55.18165205;0;77.25431287;0;27.59082602;0;0;0;0;0;0;0;0;0;0;5.518165205
7;3;control;DE;0;2504.687558;0;34.78732719;0;0;0;0;0;0;817.5021889;0;0;0;156.5429724;0;0;295.6922811;1948.090323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208.7239631;0;226.1176267;0;52.18099078;0;0;0;0;0;0;0;0;0;0;0;0;0
1;3;TU-1;DE;0;379.3079489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1741.085667;0;0;0;0;0;0;0;0;0;0;93.27244646;0;0;0;0;0;0;0;0;0;0;0;0;136.7995881;0;74.61795717;0;37.30897858;0;0;0;0;0;0;0;0;0;0;0;0;0
2;3;TU-1;DE;0;267.6509768;0;21.84905933;21.84905933;0;0;0;0;0;0;0;5.462264834;0;0;0;0;1305.481295;0;0;0;0;0;0;0;0;0;0;16.3867945;0;0;0;0;0;0;0;0;0;0;0;0;103.7830318;0;49.1603835;0;103.7830318;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;TU-1;DE;0;2191.213238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.019816587;0;0;0;0;0;0;0;0;0;0;6.019816587;0;0;0;0;0;0;0;0;0;0;0;0;216.7133971;0;90.2972488;0;36.11889952;0;0;0;0;0;0;0;0;0;0;0;0;0
5;3;TU-1;DE;0;6259.697799;0;79.74137324;0;0;0;0;0;0;0;0;59.80602993;0;0;0;0;39.87068662;0;0;0;0;0;0;0;0;0;0;578.124956;0;0;0;0;0;0;0;0;0;0;0;0;1235.991285;0;119.6120599;0;917.0257923;0;19.93534331;0;0;0;0;0;0;0;0;0;0;0
7;3;TU-1;DE;0;574.033565;0;30.86201962;0;0;0;0;0;0;0;0;3.086201962;0;0;0;0;24.6896157;0;0;0;0;0;0;0;0;0;0;12.34480785;0;0;0;0;0;0;0;0;0;0;0;0;120.3618765;0;114.1894726;0;43.20682747;0;15.43100981;0;0;0;0;0;0;0;0;0;0;0
